Periodo,Trimestre,Entidad_Federativa,Sexo,Poblacion_desocupada_abierta,Poblacion_Economicamente_Activa,Tasa_de_desocupacion,,
2016,1,Yucatán,Hombres,10509,615471,1.707472814,,
2016,1,Yucatán,Mujeres,10035,397823,2.52247859,,
2016,1,Zacatecas,Hombres,13798,393298,3.508281252,,
2016,1,Zacatecas,Mujeres,7080,219556,3.224689829,,
2016,2,Nacional,Hombres,1272416,32571971,3.906475294,,
2016,2,Nacional,Mujeres,797155,20188510,3.948557868,,
2016,2,Aguascalientes,Hombres,14993,347445,4.315215358,,
2016,2,Aguascalientes,Mujeres,8166,222846,3.66441399,,
2016,2,Baja California,Hombres,26880,1003914,2.677520186,,
2016,2,Baja California,Mujeres,13816,621946,2.221414721,,
2016,2,Baja California Sur,Hombres,9182,211389,4.343650805,,
2016,2,Baja California Sur,Mujeres,5366,135529,3.959300224,,
2016,2,Campeche,Hombres,7440,247916,3.001016473,,
2016,2,Campeche,Mujeres,5524,130918,4.219435066,,
2016,2,Coahuila,Hombres,32522,818034,3.975629375,,
2016,2,Coahuila,Mujeres,30516,483466,6.311922658,,
2016,2,Colima,Hombres,8936,200387,4.459371117,,
2016,2,Colima,Mujeres,5745,143652,3.999248183,,
2016,2,Chiapas,Hombres,41588,1352145,3.075705638,,
2016,2,Chiapas,Mujeres,20358,563813,3.610771657,,
2016,2,Chihuahua,Hombres,37776,997130,3.788472917,,
2016,2,Chihuahua,Mujeres,22007,574490,3.830702014,,
2016,2,Ciudad de México,Hombres,131726,2552386,5.16089651,,
2016,2,Ciudad de México,Mujeres,96803,1934501,5.004029463,,
2016,2,Durango,Hombres,23140,479221,4.828669862,,
2016,2,Durango,Mujeres,15822,294852,5.366081967,,
2016,2,Guanajuato,Hombres,58626,1545440,3.793482762,,
2016,2,Guanajuato,Mujeres,37804,1032009,3.663146349,,
2016,2,Guerrero,Hombres,19611,890947,2.201141033,,
2016,2,Guerrero,Mujeres,9383,542462,1.729706413,,
2016,2,Hidalgo,Hombres,26209,745403,3.516084588,,
2016,2,Hidalgo,Mujeres,11507,471790,2.439008881,,
2016,2,Jalisco,Hombres,78615,2201059,3.571689809,,
2016,2,Jalisco,Mujeres,53180,1399942,3.798728804,,
2016,2,México,Hombres,237311,4375115,5.424108852,,
2016,2,México,Mujeres,139561,2759543,5.057395373,,
2016,2,Michoacán,Hombres,35348,1227404,2.879899365,,
2016,2,Michoacán,Mujeres,18832,726695,2.59145859,,
2016,2,Morelos,Hombres,15104,477025,3.166291075,,
2016,2,Morelos,Mujeres,6292,314577,2.000146228,,
2016,2,Nayarit,Hombres,14268,327501,4.356627919,,
2016,2,Nayarit,Mujeres,8101,223842,3.619070594,,
2016,2,Nuevo León,Hombres,61588,1515473,4.063945712,,
2016,2,Nuevo León,Mujeres,40228,917728,4.383433871,,
2016,2,Oaxaca,Hombres,23907,1012800,2.360485782,,
2016,2,Oaxaca,Mujeres,9659,660778,1.461761741,,
2016,2,Puebla,Hombres,49477,1682798,2.940162753,,
2016,2,Puebla,Mujeres,28524,1029077,2.771804248,,
2016,2,Querétaro,Hombres,29744,542763,5.480108261,,
2016,2,Querétaro,Mujeres,10422,313052,3.329159373,,
2016,2,Quintana Roo,Hombres,15334,510600,3.003133568,,
2016,2,Quintana Roo,Mujeres,10724,325578,3.29383435,,
2016,2,San Luis Potosí,Hombres,17605,747475,2.355262718,,
2016,2,San Luis Potosí,Mujeres,11382,452120,2.517473237,,
2016,2,Sinaloa,Hombres,27250,799439,3.408640309,,
